Quest,Completion,Points,Epoch
LP_ANY_TOKEN,164312.0,5000.0,23
BTC_TRANSFER_IN,177522.0,2500.0,23
ETH_TRANSFER_IN,183637.0,2500.0,23
BNB_TRANSFER_IN,179943.0,2500.0,23
DEFI1_SWAP,39326.0,5000.0,23
DEPOSIT_VAULT,140301.0,2500.0,23
DEFI2_DEPOSIT,165663.0,2500.0,23
DEFI3_STAKE,23923.0,5000.0,23
DEFI4_SWAP,130783.0,2500.0,23
DEFI5_SWAP,120905.0,2500.0,23
DEFI8_DEPOSIT,11549.0,2500.0,23
NFT1_SELL_OR_MINT,40245.0,2500.0,23
BUY_DOMAIN_ID,7485.0,2500.0,23
GAME1_PLAY,95723.0,2500.0,23
NATIVE_TOKEN_TRANSFER_OUT,156514.0,2500.0,24
NATIVE_TOKEN_TRANSFER_IN,154662.0,1000.0,24
LP_ANY_TOKEN,137770.0,5000.0,24
BTC_TRANSFER_IN,153454.0,2500.0,24
ETH_TRANSFER_IN,153354.0,2500.0,24
BNB_TRANSFER_IN,155124.0,2500.0,24
DEFI1_SWAP,37457.0,5000.0,24
DEPOSIT_VAULT,117087.0,2500.0,24
DEFI2_DEPOSIT,138273.0,2500.0,24
DEFI3_STAKE,18363.0,5000.0,24
DEFI4_SWAP,120668.0,2500.0,24
DEFI5_SWAP,118314.0,2500.0,24
DEFI8_DEPOSIT,12397.0,2500.0,24
NFT1_SELL_OR_MINT,39603.0,2500.0,24
BUY_DOMAIN_ID,6399.0,2500.0,24
GAME1_PLAY,89582.0,2500.0,24
NATIVE_TOKEN_TRANSFER_OUT,160842.0,2500.0,25
NATIVE_TOKEN_TRANSFER_IN,159480.0,1000.0,25
LP_ANY_TOKEN,136463.0,5000.0,25
BTC_TRANSFER_IN,148054.0,2500.0,25
ETH_TRANSFER_IN,153657.0,2500.0,25
BNB_TRANSFER_IN,153728.0,2500.0,25
DEFI1_SWAP,34569.0,5000.0,25
DEPOSIT_VAULT,121762.0,2500.0,25
DEFI2_DEPOSIT,144954.0,2500.0,25
DEFI3_STAKE,14271.0,5000.0,25
DEFI4_SWAP,112101.0,2500.0,25
DEFI5_SWAP,108758.0,2500.0,25
DEFI8_DEPOSIT,11682.0,2500.0,25
NFT1_SELL_OR_MINT,38158.0,2500.0,25
BUY_DOMAIN_ID,5396.0,2500.0,25
GAME1_PLAY,81123.0,2500.0,25
SOCIAL_BUY,31191.0,5000.0,25
NATIVE_TOKEN_TRANSFER_OUT,120864.0,2500.0,26
NATIVE_TOKEN_TRANSFER_IN,119196.0,1000.0,26
LP_ANY_TOKEN,108466.0,5000.0,26
BTC_TRANSFER_IN,111766.0,2500.0,26
ETH_TRANSFER_IN,116477.0,2500.0,26
BNB_TRANSFER_IN,113382.0,2500.0,26
DEFI1_SWAP,32633.0,5000.0,26
DEPOSIT_VAULT,95106.0,2500.0,26
DEFI2_DEPOSIT,106423.0,2500.0,26
DEFI3_STAKE,12712.0,5000.0,26
DEFI4_SWAP,98182.0,2500.0,26
DEFI5_SWAP,97723.0,2500.0,26
DEFI8_DEPOSIT,10685.0,2500.0,26
NFT1_SELL_OR_MINT,36608.0,2500.0,26
GAME1_PLAY,62577.0,2500.0,26
SOCIAL_BUY,23756.0,5000.0,26
NATIVE_TOKEN_TRANSFER_OUT,110513.0,2500.0,27
NATIVE_TOKEN_TRANSFER_IN,109187.0,1000.0,27
LP_ANY_TOKEN,103823.0,5000.0,27
BTC_TRANSFER_IN,107342.0,2500.0,27
ETH_TRANSFER_IN,110895.0,2500.0,27
BNB_TRANSFER_IN,109168.0,2500.0,27
DEFI1_SWAP,30005.0,5000.0,27
DEPOSIT_VAULT,95198.0,2500.0,27
DEFI2_DEPOSIT,102724.0,2500.0,27
DEFI3_STAKE,11929.0,5000.0,27
DEFI4_SWAP,84684.0,2500.0,27
DEFI5_SWAP,82969.0,2500.0,27
DEFI8_DEPOSIT,8506.0,2500.0,27
NFT1_SELL_OR_MINT,34709.0,2500.0,27
GAME1_PLAY,56127.0,2500.0,27
SOCIAL_BUY,21640.0,5000.0,27
DEFI6_TRADE_VOLUME,4691.0,5000.0,27
GAME3_MINT,4888.0,5000.0,27
NATIVE_TOKEN_TRANSFER_OUT,90631.0,2500.0,28
NATIVE_TOKEN_TRANSFER_IN,89082.0,1000.0,28
LP_ANY_TOKEN,85804.0,5000.0,28
BTC_TRANSFER_IN,87065.0,2500.0,28
ETH_TRANSFER_IN,90749.0,2500.0,28
BNB_TRANSFER_IN,89228.0,2500.0,28
DEFI1_SWAP,26810.0,5000.0,28
DEPOSIT_VAULT,76814.0,2500.0,28
DEFI2_DEPOSIT,80932.0,2500.0,28
DEFI3_STAKE,10672.0,5000.0,28
DEFI4_SWAP,79606.0,2500.0,28
DEFI5_SWAP,77943.0,2500.0,28
DEFI8_DEPOSIT,6191.0,2500.0,28
NFT1_SELL_OR_MINT,32228.0,2500.0,28
GAME1_PLAY,53321.0,2500.0,28
SOCIAL_BUY,20316.0,5000.0,28
DEFI6_TRADE_VOLUME,4967.0,5000.0,28
GAME3_MINT,4335.0,5000.0,28
NATIVE_TOKEN_TRANSFER_OUT,69290.0,2500.0,29
NATIVE_TOKEN_TRANSFER_IN,67791.0,1000.0,29
LP_ANY_TOKEN,64649.0,5000.0,29
BTC_TRANSFER_IN,67121.0,2500.0,29
ETH_TRANSFER_IN,70073.0,2500.0,29
BNB_TRANSFER_IN,68857.0,2500.0,29
DEFI1_SWAP,24427.0,5000.0,29
DEPOSIT_VAULT,58321.0,2500.0,29
DEFI2_DEPOSIT,64916.0,2500.0,29
DEFI3_STAKE,9449.0,5000.0,29
DEFI4_SWAP,60648.0,2500.0,29
DEFI5_SWAP,58626.0,2500.0,29
DEFI8_DEPOSIT,4651.0,2500.0,29
NFT1_SELL_OR_MINT,27649.0,2500.0,29
GAME1_PLAY,45454.0,2500.0,29
SOCIAL_BUY,17582.0,5000.0,29
DEFI6_TRADE_VOLUME,4303.0,5000.0,29
GAME3_MINT,3506.0,5000.0,29
NATIVE_TOKEN_TRANSFER_OUT,65161.0,2500.0,30
NATIVE_TOKEN_TRANSFER_IN,64159.0,1000.0,30
LP_ANY_TOKEN,60844.0,5000.0,30
BTC_TRANSFER_IN,63930.0,2500.0,30
ETH_TRANSFER_IN,66222.0,2500.0,30
BNB_TRANSFER_IN,65562.0,2500.0,30
DEFI1_SWAP,23516.0,5000.0,30
DEPOSIT_VAULT,53567.0,2500.0,30
DEFI2_DEPOSIT,62412.0,2500.0,30
DEFI3_STAKE,9030.0,5000.0,30
DEFI4_SWAP,56029.0,2500.0,30
DEFI5_SWAP,54161.0,2500.0,30
DEFI8_DEPOSIT,4395.0,2500.0,30
NFT1_SELL_OR_MINT,26584.0,2500.0,30
GAME1_PLAY,43316.0,2500.0,30
SOCIAL_BUY,17331.0,5000.0,30
DEFI6_TRADE_VOLUME,4146.0,5000.0,30
GAME3_MINT,3445.0,5000.0,30
NATIVE_TOKEN_TRANSFER_OUT,36832.0,500.0,31
NATIVE_TOKEN_TRANSFER_IN,37042.0,500.0,31
DEFI1_SWAP,20428.0,3500.0,31
DEFI2_DEPOSIT,11603.0,5000.0,31
DEFI3_STAKE,10351.0,5000.0,31
DEFI4_SWAP,11451.0,5000.0,31
DEFI5_SWAP,10008.0,5000.0,31
GAME1_PLAY,28164.0,500.0,31
SOCIAL_BUY,17091.0,5000.0,31
DEFI6_TRADE_VOLUME,3922.0,5000.0,31
GAME3_MINT,3774.0,5000.0,31
NATIVE_TOKEN_TRANSFER_OUT,27876.0,500.0,32
NATIVE_TOKEN_TRANSFER_IN,27671.0,500.0,32
DEFI1_SWAP,19005.0,3500.0,32
DEFI2_DEPOSIT,6862.0,5000.0,32
DEFI3_STAKE,9587.0,5000.0,32
DEFI4_SWAP,12752.0,5000.0,32
DEFI5_SWAP,11879.0,5000.0,32
GAME1_PLAY,23142.0,500.0,32
SOCIAL_BUY,16070.0,5000.0,32
DEFI6_TRADE_VOLUME,3953.0,5000.0,32
GAME3_MINT,3482.0,5000.0,32
NATIVE_TOKEN_TRANSFER_OUT,29002.0,500.0,33
NATIVE_TOKEN_TRANSFER_IN,28826.0,500.0,33
DEFI1_SWAP,25367.0,3500.0,33
DEFI2_DEPOSIT,6809.0,5000.0,33
DEFI3_STAKE,20400.0,5000.0,33
DEFI4_SWAP,12027.0,5000.0,33
DEFI5_SWAP,11965.0,5000.0,33
GAME1_PLAY,22468.0,1500.0,33
SOCIAL_BUY,14700.0,5000.0,33
DEFI6_TRADE_VOLUME,4080.0,7500.0,33
GAME3_MINT,3570.0,5000.0,33
NATIVE_TOKEN_TRANSFER_OUT,27564.0,500.0,34
NATIVE_TOKEN_TRANSFER_IN,27677.0,500.0,34
DEFI1_SWAP,25143.0,3500.0,34
DEFI2_DEPOSIT,7013.0,5000.0,34
DEFI3_STAKE,21345.0,5000.0,34
DEFI4_SWAP,12242.0,5000.0,34
DEFI5_SWAP,11763.0,5000.0,34
GAME1_PLAY,20880.0,1500.0,34
SOCIAL_BUY,15033.0,5000.0,34
DEFI6_TRADE_VOLUME,4018.0,7500.0,34
GAME3_MINT,3367.0,5000.0,34
NATIVE_TOKEN_TRANSFER_OUT,23573.0,500.0,35
NATIVE_TOKEN_TRANSFER_IN,23998.0,500.0,35
DEFI1_SWAP,21225.0,3500.0,35
DEFI2_DEPOSIT,5213.0,5000.0,35
DEFI3_STAKE,19527.0,5000.0,35
DEFI4_SWAP,9292.0,5000.0,35
DEFI5_SWAP,8638.0,5000.0,35
GAME1_PLAY,17721.0,1500.0,35
SOCIAL_BUY,12986.0,5000.0,35
DEFI6_TRADE_VOLUME,2439.0,7500.0,35
GAME3_MINT,2540.0,5000.0,35
DEFI7_SWAP,2035.0,5000.0,35
BRIDGE_TOKEN1_FROM_ETHEREUM,820.0,7500.0,35
BRIDGE_TOKEN2_FROM_ETHEREUM,773.0,7500.0,35
STAKE_NATIVE_TOKEN,5449.0,7500.0,35
NATIVE_TOKEN_TRANSFER_OUT,22247.0,500.0,36
NATIVE_TOKEN_TRANSFER_IN,22149.0,500.0,36
DEFI1_SWAP,20118.0,3500.0,36
DEFI2_DEPOSIT,4726.0,5000.0,36
DEFI3_STAKE,18797.0,5000.0,36
DEFI4_SWAP,8884.0,5000.0,36
DEFI5_SWAP,8131.0,5000.0,36
GAME1_PLAY,11071.0,1500.0,36
SOCIAL_BUY,11510.0,5000.0,36
DEFI6_TRADE_VOLUME,2039.0,7500.0,36
GAME3_MINT,2399.0,5000.0,36
DEFI7_SWAP,2230.0,5000.0,36
BRIDGE_TOKEN1_FROM_ETHEREUM,946.0,7500.0,36
BRIDGE_TOKEN2_FROM_ETHEREUM,909.0,7500.0,36
STAKE_NATIVE_TOKEN,6371.0,7500.0,36
GAME2_BUY_ITEM,1413.0,5000.0,36
NATIVE_TOKEN_TRANSFER_OUT,20157.0,500.0,37
NATIVE_TOKEN_TRANSFER_IN,20180.0,500.0,37
DEFI1_SWAP,19169.0,3500.0,37
DEFI2_DEPOSIT,4229.0,5000.0,37
DEFI3_STAKE,18671.0,5000.0,37
DEFI4_SWAP,7924.0,5000.0,37
DEFI5_SWAP,7172.0,5000.0,37
SOCIAL_BUY,10747.0,5000.0,37
DEFI6_TRADE_VOLUME,1824.0,7500.0,37
GAME3_MINT,2197.0,5000.0,37
DEFI7_SWAP,2049.0,5000.0,37
BRIDGE_TOKEN1_FROM_ETHEREUM,1130.0,7500.0,37
BRIDGE_TOKEN2_FROM_ETHEREUM,1089.0,7500.0,37
STAKE_NATIVE_TOKEN,6720.0,7500.0,37
GAME2_BUY_ITEM,1167.0,5000.0,37
CLAIM_GAS_REWARD,2094.0,7500.0,37
BRIDGE_TOKEN3_FROM_ETHEREUM,966.0,7500.0,37
BRIDGE_TOKEN1_FROM_POLYGON,7385.0,7500.0,37
NATIVE_TOKEN_TRANSFER_OUT,16743.0,500.0,38
NATIVE_TOKEN_TRANSFER_IN,16717.0,500.0,38
DEFI1_SWAP,16955.0,3500.0,38
DEFI2_DEPOSIT,3807.0,5000.0,38
DEFI3_STAKE,16678.0,5000.0,38
DEFI4_SWAP,7020.0,5000.0,38
DEFI5_SWAP,6439.0,5000.0,38
SOCIAL_BUY,10087.0,5000.0,38
DEFI6_TRADE_VOLUME,1956.0,7500.0,38
GAME3_MINT,2083.0,5000.0,38
DEFI5_LEND,2473.0,7500.0,38
DEFI7_SWAP,1796.0,5000.0,38
BRIDGE_TOKEN1_FROM_ETHEREUM,1103.0,7500.0,38
BRIDGE_TOKEN2_FROM_ETHEREUM,1075.0,7500.0,38
STAKE_NATIVE_TOKEN,6562.0,7500.0,38
GAME2_BUY_ITEM,1020.0,5000.0,38
CLAIM_GAS_REWARD,3919.0,7500.0,38
BRIDGE_TOKEN3_FROM_ETHEREUM,989.0,7500.0,38
BRIDGE_TOKEN1_FROM_POLYGON,7970.0,7500.0,38
NATIVE_TOKEN_TRANSFER_OUT,19395.0,500.0,39
NATIVE_TOKEN_TRANSFER_IN,19524.0,500.0,39
DEFI1_SWAP,19228.0,3500.0,39
DEFI2_DEPOSIT,3701.0,5000.0,39
DEFI3_STAKE,19002.0,5000.0,39
DEFI4_SWAP,6476.0,5000.0,39
DEFI5_SWAP,5797.0,5000.0,39
SOCIAL_BUY,9454.0,2500.0,39
DEFI6_TRADE_VOLUME,1800.0,7500.0,39
GAME3_MINT,1901.0,5000.0,39
DEFI5_LEND,2664.0,7500.0,39
DEFI7_SWAP,1531.0,5000.0,39
BRIDGE_TOKEN1_FROM_ETHEREUM,937.0,5000.0,39
BRIDGE_TOKEN2_FROM_ETHEREUM,921.0,5000.0,39
STAKE_NATIVE_TOKEN,6454.0,7500.0,39
GAME2_BUY_ITEM,885.0,2500.0,39
CLAIM_GAS_REWARD,9366.0,7500.0,39
BRIDGE_TOKEN3_FROM_ETHEREUM,864.0,5000.0,39
BRIDGE_TOKEN1_FROM_POLYGON,8031.0,7500.0,39
NATIVE_TOKEN_TRANSFER_OUT,17716.0,500.0,40
NATIVE_TOKEN_TRANSFER_IN,17571.0,500.0,40
BTC_TRANSFER_IN,8596.0,500.0,40
ETH_TRANSFER_IN,23989.0,500.0,40
BNB_TRANSFER_IN,7488.0,500.0,40
DEFI1_SWAP,27239.0,3500.0,40
DEFI2_DEPOSIT,2690.0,7500.0,40
DEFI3_STAKE,27966.0,5000.0,40
DEFI4_SWAP,5917.0,5000.0,40
DEFI5_SWAP,5455.0,5000.0,40
SOCIAL_BUY,8271.0,2500.0,40
DEFI6_SINGLE_TRADE_VOLUME,1556.0,7500.0,40
GAME3_MINT,1596.0,5000.0,40
DEFI5_LEND,2807.0,7500.0,40
DEFI7_SWAP,1310.0,5000.0,40
BRIDGE_TOKEN1_FROM_ETHEREUM,847.0,5000.0,40
BRIDGE_TOKEN2_FROM_ETHEREUM,826.0,5000.0,40
STAKE_NATIVE_TOKEN,6302.0,7500.0,40
GAME2_BUY_ITEM,851.0,2500.0,40
CLAIM_GAS_REWARD,29769.0,7500.0,40
BRIDGE_TOKEN3_FROM_ETHEREUM,807.0,5000.0,40
BRIDGE_TOKEN1_FROM_POLYGON,7362.0,7500.0,40
NATIVE_TOKEN_TRANSFER_OUT,13641.0,500.0,41
NATIVE_TOKEN_TRANSFER_IN,17499.0,500.0,41
BTC_TRANSFER_IN,8364.0,500.0,41
ETH_TRANSFER_IN,18100.0,500.0,41
BNB_TRANSFER_IN,7407.0,500.0,41
DEFI1_SWAP,18886.0,3500.0,41
DEFI2_DEPOSIT,2472.0,7500.0,41
DEFI3_STAKE,22517.0,5000.0,41
DEFI4_SWAP,5653.0,5000.0,41
DEFI5_SWAP,5301.0,5000.0,41
SOCIAL_BUY,7210.0,2500.0,41
DEFI6_SINGLE_TRADE_VOLUME,1533.0,7500.0,41
GAME3_MINT,1667.0,5000.0,41
DEFI5_LEND,2834.0,7500.0,41
DEFI7_SWAP,1294.0,5000.0,41
BRIDGE_TOKEN1_FROM_ETHEREUM,773.0,5000.0,41
BRIDGE_TOKEN2_FROM_ETHEREUM,763.0,5000.0,41
STAKE_NATIVE_TOKEN,6268.0,7500.0,41
GAME2_BUY_ITEM,749.0,2500.0,41
CLAIM_GAS_REWARD,39675.0,7500.0,41
BRIDGE_TOKEN3_FROM_ETHEREUM,738.0,5000.0,41
BRIDGE_TOKEN1_FROM_POLYGON,6631.0,7500.0,41
NATIVE_TOKEN_TRANSFER_OUT,17449.0,500.0,42
NATIVE_TOKEN_TRANSFER_IN,17119.0,500.0,42
BTC_TRANSFER_IN,11886.0,500.0,42
ETH_TRANSFER_IN,31842.0,500.0,42
BNB_TRANSFER_IN,11050.0,500.0,42
DEFI1_SWAP,16967.0,3500.0,42
DEFI2_DEPOSIT,2889.0,7500.0,42
DEFI3_STAKE,16598.0,5000.0,42
DEFI4_SWAP,5937.0,5000.0,42
DEFI5_SWAP,5596.0,5000.0,42
SOCIAL_BUY,7874.0,2500.0,42
DEFI6_SINGLE_TRADE_VOLUME,1500.0,7500.0,42
GAME3_MINT,1504.0,5000.0,42
DEFI5_LEND,3358.0,7500.0,42
DEFI7_SWAP,1583.0,5000.0,42
BRIDGE_TOKEN1_FROM_ETHEREUM,304.0,5000.0,42
BRIDGE_TOKEN2_FROM_ETHEREUM,297.0,5000.0,42
STAKE_NATIVE_TOKEN,7152.0,7500.0,42
CLAIM_GAS_REWARD,43341.0,7500.0,42
BRIDGE_TOKEN3_FROM_ETHEREUM,311.0,5000.0,42
BRIDGE_TOKEN1_FROM_POLYGON,6968.0,7500.0,42
